position_abs,time,name,country,date_birth,position_venue,venue,date
1,43.03,Wayde van Niekerk,RSA,1992-07-15,1,Rio de Janeiro,2016-08-14
2,43.18,Michael Johnson,USA,1967-09-13,1,Sevilla,1999-08-26
3,43.29,Harry Reynolds,USA,1964-06-08,1rA,Zürich,1988-08-17
4,43.39,Michael Johnson,USA,1967-09-13,1,Göteborg,1995-08-09
5,43.44,Michael Johnson,USA,1967-09-13,1,Atlanta,1996-06-19
6,43.45,Jeremy Wariner,USA,1984-01-31,1,Osaka,2007-08-31
7,43.48,Wayde van Niekerk,RSA,1992-07-15,1,Beijing,2015-08-26
8,43.49,Michael Johnson,USA,1967-09-13,1,Atlanta,1996-07-29
9,43.5,Quincy Watts,USA,1970-06-19,1,Barcelona,1992-08-05
9,43.5,Jeremy Wariner,USA,1984-01-31,1rA,Stockholm,2007-08-07
11,43.62,Jeremy Wariner,USA,1984-01-31,1rA,Roma,2006-07-14
11,43.62,Wayde van Niekerk,RSA,1992-07-15,1,Lausanne,2017-07-06
13,43.65,Michael Johnson,USA,1967-09-13,1,Stuttgart,1993-08-17
13,43.65,LaShawn Merritt,USA,1986-06-27,2,Beijing,2015-08-26
15,43.66,Michael Johnson,USA,1967-09-13,1,Sacramento,1995-06-16
15,43.66,Michael Johnson,USA,1967-09-13,1rA,Lausanne,1996-07-03
17,43.68,Michael Johnson,USA,1967-09-13,1,Zürich,1998-08-12
17,43.68,Michael Johnson,USA,1967-09-13,1,Sacramento,2000-07-16
19,43.7,Fred Kerley,USA,1995-05-07,1q1,Austin,2017-05-26
20,43.71,Quincy Watts,USA,1970-06-19,1s2,Barcelona,1992-08-03
21,43.72,Isaac Makwala,BOT,1986-09-29,1rA,La Chaux-de-Fonds,2015-07-05
22,43.73,Wayde van Niekerk,RSA,1992-07-15,1,Monaco,2017-07-21
23,43.74,Michael Johnson,USA,1967-09-13,1,Eugene,1993-06-19
23,43.74,LaShawn Merritt,USA,1986-06-27,1,Moskva,2013-08-13
23,43.74,Kirani James,GRN,1992-09-01,1rA,Lausanne,2014-07-03
26,43.75,Michael Johnson,USA,1967-09-13,1,Waco,1997-04-19
26,43.75,LaShawn Merritt,USA,1986-06-27,1,Beijing,2008-08-21
28,43.76,Michael Johnson,USA,1967-09-13,1,Uniondale,1998-07-21
28,43.76,Kirani James,GRN,1992-09-01,2,Rio de Janeiro,2016-08-14
30,43.78,Kirani James,GRN,1992-09-01,3,Beijing,2015-08-26
31,43.81,Danny Everett,USA,1966-11-01,1,New Orleans,1992-06-26
32,43.82,Jeremy Wariner,USA,1984-01-31,1,Zürich,2008-08-29
33,43.83,Quincy Watts,USA,1970-06-19,1,Zürich,1992-08-19
34,43.84,Michael Johnson,USA,1967-09-13,1,Sydney,2000-09-25
34,43.84,Isaac Makwala,BOT,1986-09-29,2,Monaco,2017-07-21
36,43.85,LaShawn Merritt,USA,1986-06-27,3,Rio de Janeiro,2016-08-14
37,43.86,Lee Evans,USA,1947-02-25,1,Ciudad de México,1968-10-18
37,43.86,Michael Johnson,USA,1967-09-13,1,Oslo,1995-07-21
37,43.86,Jeremy Wariner,USA,1984-01-31,1,Saint-Denis,2008-07-18
40,43.87,Steve Lewis,USA,1969-05-16,1,Seoul,1988-09-28
41,43.88,Michael Johnson,USA,1967-09-13,1,Zürich,1995-08-16
42,43.89,Steven Gardiner,BAH,1995-09-12,1s1,London,2017-08-06
43,43.9,Michael Johnson,USA,1967-09-13,1,Madrid,1994-09-06
44,43.91,Harry Reynolds,USA,1964-06-08,2,Atlanta,1996-06-19
44,43.91,Jeremy Wariner,USA,1984-01-31,1,Saint-Denis,2006-07-08
46,43.92,Michael Johnson,USA,1967-09-13,1r2,Lausanne,1999-07-02
46,43.92,Michael Johnson,USA,1967-09-13,1,Eugene,2000-06-24
46,43.92,LaShawn Merritt,USA,1986-06-27,2rA,Lausanne,2014-07-03
46,43.92,Isaac Makwala,BOT,1986-09-29,1rA,Madrid,2017-07-14
50,43.93,Harry Reynolds,USA,1964-06-08,1,Indianapolis,1988-07-20
50,43.93,Harry Reynolds,USA,1964-06-08,2,Seoul,1988-09-28
50,43.93,Jeremy Wariner,USA,1984-01-31,1,Helsinki,2005-08-12
50,43.93,Youssef Al-Masrahi,KSA,1987-12-31,1h2,Beijing,2015-08-23
50,43.93,Rusheen McDonald,JAM,1992-08-17,2h2,Beijing,2015-08-23
55,43.94,Michael Johnson,USA,1967-09-13,1,Berlin,1993-08-27
55,43.94,Kirani James,GRN,1992-09-01,1,London,2012-08-06
57,43.95,Michael Johnson,USA,1967-09-13,1s1,Sevilla,1999-08-24
57,43.95,Kirani James,GRN,1992-09-01,1,Eugene,2015-05-30
59,43.96,Michael Johnson,USA,1967-09-13,1,Monaco,1998-08-08
59,43.96,LaShawn Merritt,USA,1986-06-27,2,Osaka,2007-08-31
59,43.96,Kirani James,GRN,1992-09-01,1,Saint-Denis,2013-07-06
59,43.96,Wayde van Niekerk,RSA,1992-07-15,1,Saint-Denis,2015-07-04
63,43.97,Larry James,USA,1947-11-06,2,Ciudad de México,1968-10-18
63,43.97,Quincy Watts,USA,1970-06-19,1s1,New Orleans,1992-06-24
63,43.97,Kirani James,GRN,1992-09-01,1,Eugene,2014-05-31
63,43.97,LaShawn Merritt,USA,1986-06-27,2,Eugene,2014-05-31
63,43.97,LaShawn Merritt,USA,1986-06-27,1,Eugene,2016-07-03
68,43.98,Danny Everett,USA,1966-11-01,2,Indianapolis,1988-07-20
68,43.98,Michael Johnson,USA,1967-09-13,1r1,London,1992-07-10
68,43.98,Jeremy Wariner,USA,1984-01-31,1rA,Oslo,2008-06-06
68,43.98,LaShawn Merritt,USA,1986-06-27,1,Lausanne,2008-09-02
68,43.98,Wayde van Niekerk,RSA,1992-07-15,1,London,2017-08-08
73,43.99,Jeremy Wariner,USA,1984-01-31,1,London,2006-07-28
74,44,Quincy Watts,USA,1970-06-19,1,Austin,1992-06-06
74,44,Jeremy Wariner,USA,1984-01-31,1,Athínai,2004-08-23
74,44,LaShawn Merritt,USA,1986-06-27,1,Eugene,2008-07-03
77,44.01,Isaac Makwala,BOT,1986-09-29,1r1,La Chaux-de-Fonds,2014-07-06
77,44.01,Machel Cedenio,TTO,1995-06-09,4,Rio de Janeiro,2016-08-14
79,44.02,Jeremy Wariner,USA,1984-01-31,1rA,Stockholm,2006-07-25
79,44.02,Jeremy Wariner,USA,1984-01-31,1,Stuttgart,2006-09-09
79,44.02,Jeremy Wariner,USA,1984-01-31,1,Osaka,2007-05-05
79,44.02,Jeremy Wariner,USA,1984-01-31,1,Shanghai,2007-09-28
79,44.02,Kirani James,GRN,1992-09-01,1,Shanghai,2013-05-18
79,44.02,Kirani James,GRN,1992-09-01,1s1,Rio de Janeiro,2016-08-13
79,44.02,Baboloki Thebe,BOT,1997-03-18,2,Lausanne,2017-07-06
86,44.03,LaShawn Merritt,USA,1986-06-27,1,Berlin,2008-06-01
86,44.03,Fred Kerley,USA,1995-05-07,1,Sacramento,2017-06-24
88,44.04,Michael Johnson,USA,1967-09-13,1,Berlin,1994-08-30
89,44.05,Angelo Taylor,USA,1978-12-29,1,Indianapolis,2007-06-23
89,44.05,Jeremy Wariner,USA,1984-01-31,1rA,London,2007-08-03
89,44.05,Jeremy Wariner,USA,1984-01-31,1,Berlin,2007-09-16
92,44.06,Lee Evans,USA,1947-02-25,1,Echo Summit,1968-09-14
92,44.06,Danny Everett,USA,1966-11-01,1,Sevilla,1990-05-30
92,44.06,Michael Johnson,USA,1967-09-13,1,Bruxelles,1998-08-28
92,44.06,LaShawn Merritt,USA,1986-06-27,2,Indianapolis,2007-06-23
92,44.06,LaShawn Merritt,USA,1986-06-27,1,Berlin,2009-08-21
97,44.07,Michael Johnson,USA,1967-09-13,1,Bruxelles,2000-08-25
97,44.07,Jeremy Wariner,USA,1984-01-31,2,Berlin,2008-06-01
99,44.08,Steve Lewis,USA,1969-05-16,2,New Orleans,1992-06-26
99,44.08,Harry Reynolds,USA,1964-06-08,1r1,Lausanne,1997-07-02
99,44.08,Kirani James,GRN,1992-09-01,1,Des Moines,2016-04-29
99,44.08,Isaac Makwala,BOT,1986-09-29,3,Lausanne,2017-07-06
103,44.09,Danny Everett,USA,1966-11-01,3,Seoul,1988-09-28
103,44.09,Alvin Harrison,USA,1974-01-20,3,Atlanta,1996-06-19
103,44.09,Jerome Young,USA,1976-08-14,1,New Orleans,1998-06-21
103,44.09,LaShawn Merritt,USA,1986-06-27,2,Saint-Denis,2013-07-06
103,44.09,Fred Kerley,USA,1995-05-07,1h1,Columbia,2017-05-12
108,44.1,Harry Reynolds,USA,1964-06-08,1,Columbus,1987-05-03
108,44.1,Gary Kikaya,COD,1978-02-04,2,Stuttgart,2006-09-09
108,44.1,Fred Kerley,USA,1995-05-07,1,Eugene,2017-06-09
111,44.11,Steve Lewis,USA,1969-05-16,1s2,Indianapolis,1988-07-18
111,44.11,Isaac Makwala,BOT,1986-09-29,1s2,Beijing,2015-08-24
111,44.11,Luguelin Santos,DOM,1993-11-12,4,Beijing,2015-08-26
111,44.11,Wayde van Niekerk,RSA,1992-07-15,1h2,Bloemfontein,2016-05-06
111,44.11,Fred Kerley,USA,1995-05-07,1s1,Sacramento,2017-06-23
116,44.12,Harry Reynolds,USA,1964-06-08,2,Eugene,1993-06-19
116,44.12,Michael Johnson,USA,1967-09-13,1,Athínai,1997-08-05
116,44.12,Jeremy Wariner,USA,1984-01-31,1r5,Waco,2006-04-22
116,44.12,LaShawn Merritt,USA,1986-06-27,1s3,Beijing,2008-08-19
116,44.12,LaShawn Merritt,USA,1986-06-27,1,Eugene,2012-06-24
116,44.12,Wayde van Niekerk,RSA,1992-07-15,1,Monaco,2016-07-15
122,44.13,Harry Reynolds,USA,1964-06-08,1,Baton Rouge,1987-06-06
122,44.13,Quincy Watts,USA,1970-06-19,1,Sestriere,1993-07-28
122,44.13,Harry Reynolds,USA,1964-06-08,2,Stuttgart,1993-08-17
122,44.13,Derek Mills,USA,1972-07-09,1,Eugene,1995-06-04
122,44.13,Jeremy Wariner,USA,1984-01-31,1,Zürich,2010-08-19
122,44.13,LaShawn Merritt,USA,1986-06-27,1,Zürich,2013-08-29
128,44.14,Roberto Hernández,CUB,1967-03-06,2,Sevilla,1990-05-30
128,44.14,LaShawn Merritt,USA,1986-06-27,3,Stuttgart,2006-09-09
128,44.14,LaShawn Merritt,USA,1986-06-27,1r2,Ponce,2014-05-17
131,44.15,Harry Reynolds,USA,1964-06-08,1,London,1987-07-10
131,44.15,Anthuan Maybank,USA,1969-12-30,1rB,Lausanne,1996-07-03
